ResponseId,advice,item,response,score
R_8lxFYK2PYy61bmj,Equality,Standard matters,Strongly agree,5
R_8lxFYK2PYy61bmj,Equality,Reasoning makes sense,Strongly agree,5
R_8lxFYK2PYy61bmj,Equality,Inclined to revise,Somewhat agree,4
R_8lxFYK2PYy61bmj,Fairness,Standard matters,Strongly agree,5
R_8lxFYK2PYy61bmj,Fairness,Reasoning makes sense,Strongly agree,5
R_8lxFYK2PYy61bmj,Fairness,Inclined to revise,Somewhat agree,4
R_8lxFYK2PYy61bmj,Fairness & Equality,Standard matters,Strongly agree,5
R_8lxFYK2PYy61bmj,Fairness & Equality,Reasoning makes sense,Strongly agree,5
R_8lxFYK2PYy61bmj,Fairness & Equality,Inclined to revise,Somewhat agree,4
R_8fwJT0U4C9T83Y7,Equality,Standard matters,Strongly agree,5
R_8fwJT0U4C9T83Y7,Equality,Reasoning makes sense,Strongly agree,5
R_8fwJT0U4C9T83Y7,Equality,Inclined to revise,Strongly agree,5
R_8fwJT0U4C9T83Y7,Fairness,Standard matters,Strongly agree,5
R_8fwJT0U4C9T83Y7,Fairness,Reasoning makes sense,Strongly agree,5
R_8fwJT0U4C9T83Y7,Fairness,Inclined to revise,Strongly agree,5
R_8fwJT0U4C9T83Y7,Fairness & Equality,Standard matters,Strongly agree,5
R_8fwJT0U4C9T83Y7,Fairness & Equality,Reasoning makes sense,Strongly agree,5
R_8fwJT0U4C9T83Y7,Fairness & Equality,Inclined to revise,Somewhat agree,4
R_8Pp3q8gSo6GoelN,Equality,Standard matters,Somewhat agree,4
R_8Pp3q8gSo6GoelN,Equality,Reasoning makes sense,Somewhat agree,4
R_8Pp3q8gSo6GoelN,Equality,Inclined to revise,Somewhat agree,4
R_8Pp3q8gSo6GoelN,Fairness,Standard matters,Somewhat agree,4
R_8Pp3q8gSo6GoelN,Fairness,Reasoning makes sense,Neither agree nor disagree,3
R_8Pp3q8gSo6GoelN,Fairness,Inclined to revise,Somewhat agree,4
R_8Pp3q8gSo6GoelN,Fairness & Equality,Standard matters,Somewhat agree,4
R_8Pp3q8gSo6GoelN,Fairness & Equality,Reasoning makes sense,Somewhat agree,4
R_8Pp3q8gSo6GoelN,Fairness & Equality,Inclined to revise,Somewhat agree,4
R_8BqFpFXwRM8mUkp,Equality,Standard matters,Strongly agree,5
R_8BqFpFXwRM8mUkp,Equality,Reasoning makes sense,Strongly agree,5
R_8BqFpFXwRM8mUkp,Equality,Inclined to revise,Strongly agree,5
R_8BqFpFXwRM8mUkp,Fairness,Standard matters,Strongly agree,5
