StartDate,EndDate,Status,Progress,Duration(inseconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q5,Q6,advice_equal_1,advice_equal_2,advice_equal_3,advice_fair_1,advice_fair_2,advice_fair_3,advice_fairequal_1,advice_fairequal_2,advice_fairequal_3,attempts_take,attempts_give,source_file,Duration,is_preview,check_take,check_give,checks_pass,has_ratings,dup_ip,speeder
2026-09-21T03:45:11Z,2026-09-21 03:46:46,IP Address,100,94,TRUE,2026-09-21 03:46:46,R_8lxFYK2PYy61bmj,NA,NA,NA,NA,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",94,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:45:36Z,2026-09-21 03:46:56,IP Address,100,79,TRUE,2026-09-21 03:46:56,R_8fwJT0U4C9T83Y7,NA,NA,NA,NA,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",79,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:45:46Z,2026-09-21 03:47:10,IP Address,100,84,TRUE,2026-09-21 03:47:10,R_8Pp3q8gSo6GoelN,NA,NA,NA,NA,anonymous,EN,£4,£0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",84,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:45:24Z,2026-09-21 03:47:13,IP Address,100,109,TRUE,2026-09-21 03:47:13,R_8BqFpFXwRM8mUkp,NA,NA,NA,NA,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",109,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:45:16Z,2026-09-21 03:47:17,IP Address,100,121,TRUE,2026-09-21 03:47:18,R_2diEkLaAWsHPxCO,NA,NA,NA,NA,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",121,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:45:25Z,2026-09-21 03:47:24,IP Address,100,118,TRUE,2026-09-21 03:47:24,R_8GaKFCcLBjequ2Z,NA,NA,NA,NA,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",118,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:45:30Z,2026-09-21 03:47:25,IP Address,100,114,TRUE,2026-09-21 03:47:25,R_2uGZD0uwP1uFw7T,NA,NA,NA,NA,anonymous,EN,£4,£0,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",114,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:45:09Z,2026-09-21 03:47:26,IP Address,100,136,TRUE,2026-09-21 03:47:26,R_8CExWI6Kv2rCyxW,NA,NA,NA,NA,anonymous,EN,£4,£0,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",136,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:45:22Z,2026-09-21 03:47:34,IP Address,100,132,TRUE,2026-09-21 03:47:34,R_2CLoApB7Gb0WYIV,NA,NA,NA,NA,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",132,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2026-09-21T03:45:25Z,2026-09-21 03:47:47,IP Address,100,141,TRUE,2026-09-21 03:47:47,R_80BVZBU0fpzQ7hT,NA,NA,NA,NA,anonymous,EN,£4,£0,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,NA,NA,"AI Advice_September 21, 2026_03.55.csv",141,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
