StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q5,Q6,advice_equal _1,advice_equal _2,advice_equal _3,advice_fair _1,advice_fair _2,advice_fair _3,advice_fairequal _1,advice_fairequal _2,advice_fairequal _3,attempts_take,attempts_give
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is the most you can take from the other participant?,What is the least you can give to the other participant?,To what extent do you agree or disagree to the following statements? - The recommendation is based on a standard that matters to me,To what extent do you agree or disagree to the following statements? - The reasoning behind this recommendation makes sense to me,"To what extent do you agree or disagree to the following statements? - After reading this response, I feel more inclined to revise my allocation decision",To what extent do you agree or disagree to the following statements? - The recommendation is based on a standard that matters to me,To what extent do you agree or disagree to the following statements? - The reasoning behind this recommendation makes sense to me,"To what extent do you agree or disagree to the following statements? - After reading this response, I feel more inclined to revise my allocation decision",To what extent do you agree or disagree to the following statements? - The recommendation is based on a standard that matters to me,To what extent do you agree or disagree to the following statements? - The reasoning behind this recommendation makes sense to me,"To what extent do you agree or disagree to the following statements? - After reading this response, I feel more inclined to revise my allocation decision",attempts_take,attempts_give
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID47_2""}","{""ImportId"":""QID47_3""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID50_2""}","{""ImportId"":""QID50_3""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID52_2""}","{""ImportId"":""QID52_3""}","{""ImportId"":""attempts_take""}","{""ImportId"":""attempts_give""}"
2026-04-08 09:03:26,2026-04-08 09:03:34,Survey Preview,,100,8,True,2026-04-08 09:03:34,R_82lH8T3jUVNEtbr,,,,,50.7174,-3.5353,preview,EN,,,,,,,,,,,,,
2026-04-09 03:42:00,2026-04-09 03:43:09,Survey Preview,,100,69,True,2026-04-09 03:43:10,R_8f4ajGiR4j9ZTOB,,,,,50.7321,-3.53,preview,EN,,,,,,,,,,,,,
2026-04-14 01:40:52,2026-04-14 01:42:27,Survey Preview,,100,95,True,2026-04-14 01:42:27,R_8CreKMBWVPpFIHD,,,,,59.9056,10.7494,preview,EN,£4,£0,,,,,,,,,,,
2026-05-12 06:10:57,2026-05-12 06:13:18,Survey Preview,,100,140,True,2026-05-12 06:13:18,R_8OOilvd8ZjjMhW1,,,,,59.9133,10.7389,preview,EN,£4,£0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,
2026-06-16 00:58:36,2026-06-16 01:01:27,Survey Preview,,100,170,True,2026-06-16 01:01:27,R_8GlBfi0Pg15DgFX,,,,,59.9133,10.7389,preview,EN,£4,£0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,
2026-06-16 09:29:21,2026-06-16 09:31:04,Survey Preview,,100,102,True,2026-06-16 09:31:04,R_2Qgpq7b2zwyltiY,,,,,50.7321,-3.53,preview,EN,£4,£0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,
2026-09-21 03:45:11,2026-09-21 03:46:46,IP Address,86.155.160.174,100,94,True,2026-09-21 03:46:46,R_8lxFYK2PYy61bmj,,,,,51.5164,-0.093,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,,
2026-09-21 03:45:36,2026-09-21 03:46:56,IP Address,90.195.118.44,100,79,True,2026-09-21 03:46:56,R_8fwJT0U4C9T83Y7,,,,,50.123,-5.4787,anonymous,EN,£4,£0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,
